"Name","dummy","transformer_model","test_score"
"atomic-sweep-45","14","distilbert-base-uncased","0.6103873545249262"
"fresh-sweep-44","14","roberta-base","0.5287206266318538"
"logical-sweep-43","14","bert-base-uncased","0.5800251481947188"
"scarlet-sweep-42","13","distilbert-base-uncased","0.5845468562617783"
"upbeat-sweep-41","13","roberta-base","0.6393292936000664"
"balmy-sweep-40","13","bert-base-uncased","0.4370871596584502"
"earnest-sweep-39","12","distilbert-base-uncased","0.6391263861847117"
"firm-sweep-38","12","roberta-base","0.5971855010660981"
"scarlet-sweep-37","12","bert-base-uncased","0.5909399553787952"
"efficient-sweep-36","11","distilbert-base-uncased","0.49253990284524635"
"curious-sweep-35","11","roberta-base","0.6340067632012486"
"misunderstood-sweep-34","11","bert-base-uncased","0.448295593885392"
"brisk-sweep-33","10","distilbert-base-uncased","0.6005958640028041"
"fluent-sweep-32","10","roberta-base","0.5841248303934871"
"atomic-sweep-31","10","bert-base-uncased","0.5558649495301079"
"comic-sweep-30","9","distilbert-base-uncased","0.6333979897725269"
"ancient-sweep-29","9","roberta-base","0.4985109199205824"
"summer-sweep-28","9","bert-base-uncased","0.6234769177964647"
"valiant-sweep-27","8","distilbert-base-uncased","0.4992920353982301"
"usual-sweep-26","8","roberta-base","0.5371955233706386"
"worldly-sweep-25","8","bert-base-uncased","0.4563276883290231"
"rosy-sweep-24","7","distilbert-base-uncased","0.5637327309062473"
"celestial-sweep-23","7","roberta-base","0.6742209631728046"
"glad-sweep-22","7","bert-base-uncased","0.6598093326643252"
"celestial-sweep-21","6","distilbert-base-uncased","0.6306024981631153"
"vocal-sweep-20","6","roberta-base","0"
"splendid-sweep-19","6","bert-base-uncased","0.5734735353892374"
"hopeful-sweep-18","5","distilbert-base-uncased","0.5114053278034775"
"silver-sweep-17","5","roberta-base","0.5499593826157595"
"crisp-sweep-16","5","bert-base-uncased","0.4793726002777551"
"dulcet-sweep-15","4","distilbert-base-uncased","0.6087740877408774"
"rare-sweep-14","4","roberta-base","0.5679333680374805"
"major-sweep-13","4","bert-base-uncased","0.587378640776699"
"lyric-sweep-12","3","distilbert-base-uncased","0"
"dry-sweep-11","3","roberta-base","0"
"radiant-sweep-10","3","bert-base-uncased","0.4619760729523969"
"desert-sweep-9","2","distilbert-base-uncased","0.6578187071144818"
"soft-sweep-8","2","roberta-base","0.6048394350993973"
"vital-sweep-7","2","bert-base-uncased","0.4995648389904265"
"breezy-sweep-6","1","distilbert-base-uncased","0.5760612727124582"
"revived-sweep-5","1","roberta-base","0.5649526387009473"
"crimson-sweep-4","1","bert-base-uncased","0.5752397558849172"
"gentle-sweep-3","0","distilbert-base-uncased","0.5693245704331301"
"zesty-sweep-2","0","roberta-base","0.36232229370185054"
"leafy-sweep-1","0","bert-base-uncased","0.5259697567389875"